Date,Open,High,Low,Close
03-Apr-06,11342.96,11579.1,11342.96,11564.36
04-Apr-06,11599.8,11710.69,11570.11,11638.01
05-Apr-06,11671.14,11755.2,11653.39,11746.9
07-Apr-06,11845.13,11930.66,11564.87,11589.44
10-Apr-06,11620.38,11691.92,11535.28,11662.55
12-Apr-06,11693.15,11702.77,11302.78,11355.73
13-Apr-06,11366.91,11380.83,11008.43,11237.23
17-Apr-06,11323.74,11560.9,11323.74,11539.68
18-Apr-06,11624.97,11834.77,11624.97,11821.57
19-Apr-06,11880.05,11986.09,11799.62,11895.98
20-Apr-06,11941.49,12053.74,11866.21,12039.55
21-Apr-06,12053.9,12102,11860.35,12030.3
24-Apr-06,12063.73,12071.07,11882.48,11915.24
25-Apr-06,11943.08,11953,11621.61,11646.78
26-Apr-06,11677.05,11965.09,11635.4,11938.53
27-Apr-06,11968.8,12086.91,11803.49,11835.02
28-Apr-06,11698.68,11877.32,11344.61,11851.93
29-Apr-06,11881.51,12061.06,11881.51,12042.56
02-May-06,12103.78,12288.51,12103.78,12218.78
03-May-06,12231.12,12337.01,12134.19,12310.72
04-May-06,12343.63,12482.91,12264.14,12347.63
05-May-06,12373.47,12443.54,12304.59,12359.7
08-May-06,12393.22,12511.07,12393.22,12462.47
09-May-06,12488.38,12546.47,12356.04,12513.86
10-May-06,12546.93,12624.37,12530.98,12612.38
11-May-06,12631.54,12671.11,12397.02,12435.41
12-May-06,12400.71,12421.76,12224.44,12285.11
15-May-06,12272.64,12272.64,11770.76,11822.2
16-May-06,11861.18,11954.51,11378.96,11873.73
17-May-06,11962.87,12238.81,11962.87,12217.81
18-May-06,12163.98,12163.98,11330.45,11391.43
19-May-06,11549.67,11697.11,10799.01,10938.61
22-May-06,11071.63,11142.9,9826.91,10481.77
23-May-06,10590.67,10859.2,10185.48,10822.78
24-May-06,10830.98,11000.96,10504.59,10573.15
25-May-06,10520.9,10720.67,10274.93,10666.32
26-May-06,10735.14,11050.77,10735.14,10809.35
29-May-06,10855.03,10992.38,10781.61,10853.14
30-May-06,10886.61,10988.23,10722.92,10786.63
31-May-06,10679.49,10679.49,10111.96,10398.61
01-Jun-06,10472.46,10597.23,10017.82,10071.42
02-Jun-06,10104.57,10477.35,10011.45,10451.33
05-Jun-06,10537.08,10552.38,10186.33,10213.48
06-Jun-06,10087.96,10192.73,9884.89,9957.32
07-Jun-06,9919.28,10051.81,9609.21,9756.76
08-Jun-06,9664.9,9664.9,9200.8,9295.81
09-Jun-06,9270.78,9849.2,9262.2,9810.46
12-Jun-06,9858.47,9859.38,9428.03,9476.15
13-Jun-06,9360.06,9360.06,8993.58,9062.65
14-Jun-06,9156.97,9387.06,8799.01,8929.44
15-Jun-06,9133.36,9589.05,9092.16,9545.06
16-Jun-06,9703.06,10118.28,9703.06,9884.51
19-Jun-06,9903.11,10049.94,9755.21,9997.84
20-Jun-06,9958.33,9958.33,9745.17,9822.52
21-Jun-06,9828.93,10054.05,9752.65,10040.14
22-Jun-06,10093.38,10362.74,10093.38,10275.88
23-Jun-06,10201.31,10453.61,10025.19,10401.3
25-Jun-06,10443.6,10510.07,10367.04,10412.93
26-Jun-06,10427.85,10451.47,9991.12,10042.06
27-Jun-06,10058.29,10224.26,9901.58,10151.01
28-Jun-06,10067.55,10204.66,9909.76,10129.7
29-Jun-06,10193.94,10326.05,10109.56,10162.16
30-Jun-06,10316.12,10626.84,10316.12,10609.25
03-Jul-06,10616.97,10729.92,10589.46,10695.26
04-Jul-06,10755.45,10800.11,10644.72,10662.22
05-Jul-06,10641.33,10940.45,10611.35,10919.64
06-Jul-06,10836.49,10839.53,10703,10767.97
07-Jul-06,10813.75,10887.67,10440.02,10509.53
10-Jul-06,10484.25,10704.78,10461.73,10684.3
11-Jul-06,10699.62,10704.01,10566.71,10614.35
12-Jul-06,10604.64,10939.68,10549.85,10930.09
13-Jul-06,10922.61,10922.61,10797.49,10858.5
14-Jul-06,10782.98,10782.98,10563.76,10678.22
17-Jul-06,10647.26,10647.26,10262.57,10293.22
18-Jul-06,10336.62,10406.43,10149.85,10226.78
19-Jul-06,10320.59,10408.16,9972.73,10007.34
20-Jul-06,10189.67,10409.58,10189.67,10352.94
21-Jul-06,10336.38,10336.38,10035.24,10085.91
24-Jul-06,10042.47,10252.75,9875.35,10215.37
25-Jul-06,10351.75,10443.05,10302.62,10415.61
26-Jul-06,10465.34,10648.77,10362.61,10617.27
27-Jul-06,10671.77,10762.67,10589.68,10741.59
28-Jul-06,10787.65,10787.65,10603.83,10680.23
31-Jul-06,10759.19,10853.91,10710.29,10743.88
01-Aug-06,10737.5,10777.47,10645.99,10751.66
02-Aug-06,10747.13,10891.38,10730.13,10876.19
03-Aug-06,10929.03,11081.9,10875.87,10923.16
04-Aug-06,10939.8,11039.34,10810.04,10866.51
07-Aug-06,10863.28,10869.66,10780.01,10812.64
08-Aug-06,10839.53,11028.02,10839.53,11014.97
09-Aug-06,10990.73,11187.65,10939.21,11145.18
10-Aug-06,11175,11213.03,11051.75,11149.17
11-Aug-06,11181.34,11241.11,11069.25,11192.46
14-Aug-06,11221.86,11330.3,11221.86,11312.99
16-Aug-06,11384.05,11507.92,11384.05,11448.31
17-Aug-06,11498.47,11551.59,11379.44,11477.48
18-Aug-06,11498.51,11508.17,11409.11,11465.72
21-Aug-06,11488.03,11531.6,11375.9,11511.68
22-Aug-06,11547.42,11619.86,11460.93,11502.62
23-Aug-06,11579.92,11579.92,11374.86,11406.65
24-Aug-06,11367.74,11566.89,11297.23,11531.95
25-Aug-06,11589.35,11635.25,11542.1,11572.2
28-Aug-06,11583.73,11633.35,11552.44,11619.52
29-Aug-06,11651.96,11739.77,11651.96,11706.85
30-Aug-06,11735.05,11756.08,11643.38,11723.92
31-Aug-06,11754.07,11794.43,11675.08,11699.05
01-Sep-06,11699.57,11795.02,11666.01,11778.02
04-Sep-06,11824.49,11939.96,11824.49,11914.21
05-Sep-06,11927.42,11945.53,11847.93,11904.6
06-Sep-06,11908.53,11983.48,11904.92,11933.21
07-Sep-06,11893.33,11921.3,11815.43,11853.85
08-Sep-06,11859.44,11940.58,11825.22,11918.65
11-Sep-06,11959.56,11971.6,11505.6,11550.69
12-Sep-06,11564.95,11671.8,11444.18,11660.79
13-Sep-06,11723.78,11938.41,11723.78,11893.79
